Mutation Amount,Mutation Chance,Fitness
0,0,0.031
0,0.02,0.028
0,0.04,0.039
0,0.06,0.03
0,0.08,0.032
0,0.1,0.04
0,0.12,0.015
0,0.14,0.089
0,0.16,0.031
0,0.18,0.029
0,0.2,0.027
0.1,0,0.035
0.1,0.02,0.494
0.1,0.04,0.554
0.1,0.06,0.592
0.1,0.08,0.583
0.1,0.1,0.622
0.1,0.12,0.585
0.1,0.14,0.547
0.1,0.16,0.572
0.1,0.18,0.554
0.1,0.2,0.566
0.2,0,0.029
0.2,0.02,0.689
0.2,0.04,0.608
0.2,0.06,0.652
0.2,0.08,0.625
0.2,0.1,0.617
0.2,0.12,0.628
0.2,0.14,0.574
0.2,0.16,0.589
0.2,0.18,0.555
0.2,0.2,0.552
0.3,0,0.04
0.3,0.02,0.597
0.3,0.04,0.605
0.3,0.06,0.659
0.3,0.08,0.617
0.3,0.1,0.587
0.3,0.12,0.519
0.3,0.14,0.6
0.3,0.16,0.592
0.3,0.18,0.584
0.3,0.2,0.536
0.4,0,0.026
0.4,0.02,0.617
0.4,0.04,0.639
0.4,0.06,0.598
0.4,0.08,0.602
0.4,0.1,0.625
0.4,0.12,0.619
0.4,0.14,0.613
0.4,0.16,0.556
0.4,0.18,0.545
0.4,0.2,0.612
0.5,0,0.059
0.5,0.02,0.677
0.5,0.04,0.732
0.5,0.06,0.639
0.5,0.08,0.662
0.5,0.1,0.624
0.5,0.12,0.604
0.5,0.14,0.565
0.5,0.16,0.621
0.5,0.18,0.606
0.5,0.2,0.551
0.6,0,0.04
0.6,0.02,0.653
0.6,0.04,0.728
0.6,0.06,0.639
0.6,0.08,0.646
0.6,0.1,0.585
0.6,0.12,0.573
0.6,0.14,0.623
0.6,0.16,0.613
0.6,0.18,0.586
0.6,0.2,0.628
0.7,0,0.034
0.7,0.02,0.727
0.7,0.04,0.683
0.7,0.06,0.606
0.7,0.08,0.605
0.7,0.1,0.598
0.7,0.12,0.619
0.7,0.14,0.552
0.7,0.16,0.582
0.7,0.18,0.609
0.7,0.2,0.587
0.8,0,0.024
0.8,0.02,0.725
0.8,0.04,0.689
0.8,0.06,0.689
0.8,0.08,0.676
0.8,0.1,0.605
0.8,0.12,0.605
0.8,0.14,0.56
0.8,0.16,0.58
0.8,0.18,0.591
0.8,0.2,0.596
0.9,0,0.057
0.9,0.02,0.684
0.9,0.04,0.726
0.9,0.06,0.656
0.9,0.08,0.604
0.9,0.1,0.639
0.9,0.12,0.6
0.9,0.14,0.606
0.9,0.16,0.624
0.9,0.18,0.589
0.9,0.2,0.559
1,0,0.043
1,0.02,0.773
1,0.04,0.708
1,0.06,0.641
1,0.08,0.65
1,0.1,0.642
1,0.12,0.569
1,0.14,0.545
1,0.16,0.624
1,0.18,0.603
1,0.2,0.607
